
	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|    7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2  |  1 4|
	 |1 5  |    9|8 6 3|
	 |4 6  |1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3    |1 4 2|
	 |3 4 1|9 8 2|6   5|
	 |2    |     |     |
	 -------------------



	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|4 6 7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2 5|7 1 4|
	 |1 5 2|7 4 9|8 6 3|
	 |4 6 7|1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3 7 6|1 4 2|
	 |3 4 1|9 8 2|6 7 5|
	 |2 7 6|5 1 4|9 3 8|
	 -------------------


---------------------------------------------------Round 1


	 -------------------
	 |2    |3    |     |
	 |     |7    |  4  |
	 |     |  2  |     |
	 -------------------
	 |9    |     |     |
	 |  2  |     |     |
	 |     |6    |1    |
	 -------------------
	 |     |     |  1  |
	 |     |     |     |
	 |     |     |     |
	 -------------------



	 -------------------
	 |2 3 4|3 9 1|2 5 6|
	 |9 2 5|7 6 7|3 4 1|
	 |6 1 8|2 2 3|4 9 7|
	 -------------------
	 |9 9 3|6 2 5|7 1 4|
	 |1 2 2|7 4 9|8 6 3|
	 |4 6 7|6 3 8|1 2 9|
	 -------------------
	 |5 8 9|3 7 6|1 1 2|
	 |3 4 1|9 8 2|6 7 5|
	 |2 7 6|5 1 4|9 3 8|
	 -------------------


---------------------------------------------------Round 2


	 -------------------
	 |2    |3    |     |
	 |     |7    |  4  |
	 |     |  2  |     |
	 -------------------
	 |9    |     |     |
	 |  2  |     |     |
	 |     |6    |1    |
	 -------------------
	 |     |     |  1  |
	 |     |     |     |
	 |     |     |     |
	 -------------------



	 -------------------
	 |2    |3    |     |
	 |     |7    |  4  |
	 |     |  2  |     |
	 -------------------
	 |9    |     |     |
	 |  2  |     |     |
	 |     |6    |1    |
	 -------------------
	 |     |     |  1  |
	 |     |     |     |
	 |     |     |     |
	 -------------------



	 -------------------
	 |2 3 4|3 9 1|2 5 6|
	 |9 2 5|7 6 7|3 4 1|
	 |6 1 8|2 2 3|4 9 7|
	 -------------------
	 |9 9 3|6 2 5|7 1 4|
	 |1 2 2|7 4 9|8 6 3|
	 |4 6 7|6 3 8|1 2 9|
	 -------------------
	 |5 8 9|3 7 6|1 1 2|
	 |3 4 1|9 8 2|6 7 5|
	 |2 7 6|5 1 4|9 3 8|
	 -------------------



	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|    7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2  |  1 4|
	 |1 5  |    9|8 6 3|
	 |4 6  |1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3    |1 4 2|
	 |3 4 1|9 8 2|6   5|
	 |2    |     |     |
	 -------------------



	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|4 6 7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2 5|7 1 4|
	 |1 5 2|7 4 9|8 6 3|
	 |4 6 7|1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3 7 6|1 4 2|
	 |3 4 1|9 8 2|6 7 5|
	 |2 7 6|5 1 4|9 3 8|
	 -------------------


---------------------------------------------------Round 1


	 -------------------
	 |2    |3    |     |
	 |     |7    |  4  |
	 |     |  2  |     |
	 -------------------
	 |9    |     |     |
	 |  2  |     |     |
	 |     |6    |1    |
	 -------------------
	 |     |     |  1  |
	 |     |     |     |
	 |     |     |     |
	 -------------------



	 -------------------
	 |2 3 4|3 9 1|2 5 6|
	 |9 2 5|7 6 7|3 4 1|
	 |6 1 8|2 2 3|4 9 7|
	 -------------------
	 |9 9 3|6 2 5|7 1 4|
	 |1 2 2|7 4 9|8 6 3|
	 |4 6 7|6 3 8|1 2 9|
	 -------------------
	 |5 8 9|3 7 6|1 1 2|
	 |3 4 1|9 8 2|6 7 5|
	 |2 7 6|5 1 4|9 3 8|
	 -------------------


---------------------------------------------------Round 1


	 -------------------
	 |     |     |    4|
	 |     |     |     |
	 |     |     |     |
	 -------------------
	 |     |2    |3    |
	 |    8|     |    2|
	 |     |     |     |
	 -------------------
	 |8    |     |     |
	 |     |     |  3 1|
	 |9    |  1  |     |
	 -------------------



	 -------------------
	 |7 3 4|8 9 1|2 5 4|
	 |9 2 5|4 6 7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|2 2 5|3 1 4|
	 |1 5 8|7 4 9|8 6 2|
	 |4 6 7|1 3 8|5 2 9|
	 -------------------
	 |8 8 9|3 7 6|1 4 2|
	 |3 4 1|9 8 2|6 3 1|
	 |9 7 6|5 1 4|9 3 8|
	 -------------------


---------------------------------------------------Round 1


	 -------------------
	 |     |     |    5|
	 |     |     |7 8  |
	 |  3 6|  5 1|  9  |
	 -------------------
	 |    7|     |     |
	 |     |     |     |
	 |     |     |6   9|
	 -------------------
	 |    3|  7  |  2 1|
	 |  4  |  6  |    3|
	 |     |    4|  6  |
	 -------------------



	 -------------------
	 |     |     |    5|
	 |     |     |7 8  |
	 |  3 6|  5 1|  9  |
	 -------------------
	 |    7|     |     |
	 |     |     |     |
	 |     |     |6   9|
	 -------------------
	 |    3|  7  |  2 1|
	 |  4  |  6  |    3|
	 |     |    4|  6  |
	 -------------------


---------------------------------------------------Round 2


	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|    7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2  |  1 4|
	 |1 5  |    9|8 6 3|
	 |4 6  |1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3    |1 4 2|
	 |3 4 1|9 8 2|6   5|
	 |2    |     |     |
	 -------------------



	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|    7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2  |  1 4|
	 |1 5  |    9|8 6 3|
	 |4 6  |1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3    |1 4 2|
	 |3 4 1|9 8 2|6   5|
	 |2    |     |     |
	 -------------------



	 -------------------
	 |7 3 4|8 9 1|2 5 6|
	 |9 2 5|    7|3 8 1|
	 |6 1 8|2 5 3|4 9 7|
	 -------------------
	 |8 9 3|6 2  |  1 4|
	 |1 5  |    9|8 6 3|
	 |4 6  |1 3 8|5 2 9|
	 -------------------
	 |5 8 9|3 7  |1 4 2|
	 |3 4 1|9 8 2|6   5|
	 |2    |    4|  6  |
	 -------------------


---------------------------------------------------Round 0

